customer_id,account_created_at,typical_amount_inr,typical_payment_method,primary_device_id,primary_ip,billing_state,risk_segment
cust_000043,2025-05-12T00:00:00,298.98,netbanking,dev_002612,117.162.49.195,West Bengal,low_risk
cust_000044,2026-03-30T00:00:00,1287.49,upi,dev_004042,106.183.191.37,Delhi,low_risk
cust_000045,2025-08-22T00:00:00,521.82,card,dev_008298,49.226.2.47,Maharashtra,low_risk
cust_000046,2025-09-19T00:00:00,959.33,upi,dev_006790,223.150.244.25,Tamil Nadu,standard
cust_000047,2026-02-12T00:00:00,474.92,card,dev_013678,103.185.47.178,Uttar Pradesh,standard
cust_000048,2025-12-03T00:00:00,379.18,upi,dev_005988,122.58.225.100,West Bengal,low_risk
cust_000049,2026-03-29T00:00:00,57.12,upi,dev_010110,117.234.67.154,Gujarat,low_risk
cust_000050,2025-09-04T00:00:00,1362.64,upi,dev_016406,182.205.10.234,Kerala,low_risk
cust_000051,2026-05-22T00:00:00,742.59,upi,dev_015802,103.97.23.87,Delhi,low_risk
cust_000052,2026-02-10T00:00:00,876.03,netbanking,dev_002962,106.32.181.66,Delhi,low_risk
cust_000053,2025-09-11T00:00:00,432.66,card,dev_002697,103.133.107.30,Tamil Nadu,low_risk
cust_000054,2025-11-17T00:00:00,360.63,upi,dev_017961,49.23.220.40,Kerala,low_risk
cust_000055,2025-07-12T00:00:00,1451.63,upi,dev_009443,49.222.199.125,Maharashtra,standard
cust_000056,2025-08-01T00:00:00,823.17,card,dev_005297,117.149.49.164,Gujarat,low_risk
cust_000057,2025-07-08T00:00:00,396.84,upi,dev_000032,103.204.51.118,West Bengal,low_risk
cust_000058,2026-05-06T00:00:00,388.8,upi,dev_007052,157.108.95.123,Delhi,low_risk
cust_000059,2026-05-14T00:00:00,932.31,upi,dev_021656,157.121.41.163,Rajasthan,standard
cust_000060,2025-06-17T00:00:00,412.9,card,dev_012178,106.45.166.168,Uttar Pradesh,standard
cust_000061,2025-11-26T00:00:00,619.14,upi,dev_000171,122.233.66.6,Telangana,low_risk
cust_000062,2026-02-04T00:00:00,1068.21,upi,dev_007516,103.73.171.83,Gujarat,high_risk
cust_000063,2025-10-11T00:00:00,250.71,card,dev_005696,182.7.105.38,Rajasthan,low_risk
cust_000064,2025-11-05T00:00:00,1230.15,upi,dev_001250,157.86.193.107,Gujarat,low_risk
cust_000065,2025-07-21T00:00:00,1583.92,card,dev_021202,223.201.71.200,Telangana,low_risk
cust_000066,2025-09-26T00:00:00,451.56,card,dev_003263,117.119.24.14,Tamil Nadu,low_risk
cust_000067,2025-11-19T00:00:00,699.4,upi,dev_012219,182.131.142.191,Telangana,low_risk
cust_000068,2026-02-23T00:00:00,253.51,upi,dev_002620,117.144.122.10,Uttar Pradesh,standard
cust_000069,2025-06-28T00:00:00,727.21,card,dev_017236,106.13.13.239,West Bengal,low_risk
cust_000070,2026-05-20T00:00:00,1675.46,card,dev_015648,49.28.188.159,Telangana,low_risk
cust_000071,2025-07-20T00:00:00,526.8,upi,dev_001613,49.120.61.90,Telangana,low_risk
cust_000072,2025-12-06T00:00:00,440.78,card,dev_006394,49.27.153.98,Tamil Nadu,low_risk
cust_000073,2025-05-06T00:00:00,1097.51,card,dev_007380,223.195.175.144,Maharashtra,standard
cust_000074,2025-05-30T00:00:00,617.98,upi,dev_008446,157.18.69.201,West Bengal,low_risk
cust_000075,2026-03-31T00:00:00,245.79,card,dev_001258,103.49.49.237,Tamil Nadu,low_risk
cust_000076,2025-12-16T00:00:00,434.67,card,dev_010289,106.111.2.103,Delhi,standard
cust_000077,2026-01-03T00:00:00,931.03,upi,dev_010859,106.93.181.97,Kerala,low_risk
cust_000078,2025-08-15T00:00:00,507.87,card,dev_004873,103.188.162.138,Tamil Nadu,low_risk
cust_000079,2025-06-29T00:00:00,375.64,card,dev_018817,157.83.124.184,Kerala,low_risk
cust_000080,2025-08-12T00:00:00,1356.14,upi,dev_016531,223.153.230.154,Maharashtra,low_risk
cust_000081,2025-05-07T00:00:00,465.53,upi,dev_021751,122.170.127.185,Uttar Pradesh,low_risk
cust_000082,2025-06-05T00:00:00,322.03,card,dev_007225,223.107.70.217,Telangana,low_risk
cust_000083,2025-05-22T00:00:00,1229.78,upi,dev_003482,157.208.19.33,Rajasthan,low_risk
cust_000084,2025-07-08T00:00:00,969.08,upi,dev_014208,223.88.101.132,Kerala,low_risk
cust_000085,2026-04-21T00:00:00,955.7,card,dev_020193,106.223.87.196,Delhi,low_risk
cust_000086,2025-11-30T00:00:00,1195.69,card,dev_015839,106.22.47.190,Maharashtra,low_risk
cust_000087,2025-05-06T00:00:00,1897.27,upi,dev_004731,122.67.236.147,Gujarat,low_risk
cust_000088,2026-01-06T00:00:00,921.51,netbanking,dev_020220,117.42.111.14,Telangana,low_risk
cust_000089,2025-11-06T00:00:00,470.05,card,dev_000196,122.128.177.99,Maharashtra,low_risk
cust_000090,2025-07-24T00:00:00,725.05,upi,dev_012550,106.104.165.98,West Bengal,low_risk
cust_000091,2026-04-01T00:00:00,305.05,upi,dev_017863,117.112.112.147,Gujarat,standard
cust_000092,2026-02-14T00:00:00,785.6,netbanking,dev_013777,49.254.253.209,Karnataka,low_risk
cust_000093,2026-04-27T00:00:00,359.71,upi,dev_016443,117.18.127.226,Karnataka,low_risk
cust_000094,2025-10-06T00:00:00,480.14,card,dev_021589,122.165.127.151,Rajasthan,low_risk
cust_000095,2025-05-11T00:00:00,1011.33,upi,dev_011536,49.75.96.233,West Bengal,low_risk
cust_000096,2026-04-30T00:00:00,107.67,upi,dev_016200,122.193.80.184,Kerala,low_risk
cust_000097,2025-11-05T00:00:00,300.29,card,dev_005693,117.95.138.241,Telangana,low_risk
cust_000098,2026-03-10T00:00:00,1285.99,upi,dev_003518,182.221.210.170,Karnataka,low_risk
cust_000099,2025-12-15T00:00:00,270.51,upi,dev_000907,103.227.98.116,Telangana,low_risk
cust_000100,2026-01-17T00:00:00,1609.94,netbanking,dev_012770,223.165.7.246,Karnataka,low_risk
cust_000101,2025-08-06T00:00:00,374.84,card,dev_004306,106.71.168.235,Delhi,low_risk
cust_000102,2025-07-03T00:00:00,663.34,upi,dev_008648,106.165.147.21,Rajasthan,low_risk
cust_000103,2026-04-06T00:00:00,483.98,upi,dev_012482,103.124.164.183,Maharashtra,low_risk
cust_000104,2026-05-09T00:00:00,394.46,upi,dev_004983,182.168.152.49,Tamil Nadu,low_risk
cust_000105,2025-12-11T00:00:00,88.58,upi,dev_008566,117.250.125.160,Karnataka,low_risk
cust_000106,2026-01-02T00:00:00,770.8,card,dev_016954,122.79.209.199,Karnataka,low_risk
cust_000107,2026-01-02T00:00:00,1107.04,netbanking,dev_009324,106.47.246.15,West Bengal,low_risk
cust_000108,2026-01-04T00:00:00,858.89,upi,dev_007357,223.25.170.74,Kerala,low_risk
cust_000109,2025-12-10T00:00:00,1855.18,card,dev_015157,157.198.207.51,West Bengal,low_risk
cust_000110,2025-05-08T00:00:00,746.01,upi,dev_005455,122.243.234.165,Tamil Nadu,low_risk
cust_000111,2025-07-14T00:00:00,821.73,upi,dev_016307,103.159.140.162,Rajasthan,low_risk
cust_000112,2025-11-08T00:00:00,455.3,upi,dev_021054,117.215.9.148,West Bengal,low_risk
cust_000113,2025-10-03T00:00:00,659.01,upi,dev_017085,106.221.212.107,Maharashtra,low_risk
cust_000114,2025-11-29T00:00:00,551.24,upi,dev_011286,106.168.33.171,Telangana,low_risk
cust_000115,2025-08-27T00:00:00,670.45,upi,dev_021712,122.46.156.112,West Bengal,low_risk
cust_000116,2026-02-18T00:00:00,234.37,card,dev_002206,182.83.155.206,Gujarat,low_risk
cust_000117,2025-08-12T00:00:00,700.26,card,dev_004336,223.172.143.43,Kerala,low_risk
cust_000118,2025-12-08T00:00:00,284.36,netbanking,dev_011434,223.198.72.39,Delhi,low_risk
cust_000119,2025-11-17T00:00:00,282.65,card,dev_012785,117.196.134.175,Rajasthan,low_risk
cust_000120,2026-01-08T00:00:00,632.69,card,dev_004598,49.86.168.101,Delhi,low_risk
cust_000121,2025-08-29T00:00:00,902.94,card,dev_020861,49.200.137.198,Tamil Nadu,low_risk
cust_000122,2025-05-14T00:00:00,843.34,upi,dev_005741,49.112.179.68,Telangana,standard
cust_000123,2025-05-14T00:00:00,280.48,card,dev_014635,49.149.185.41,Maharashtra,low_risk
cust_000124,2026-03-08T00:00:00,1819.5,card,dev_003636,103.79.150.92,Tamil Nadu,low_risk
cust_000125,2026-01-06T00:00:00,473.87,upi,dev_010662,223.171.146.45,Maharashtra,low_risk
cust_000126,2025-09-23T00:00:00,587.78,card,dev_018284,182.107.237.133,Uttar Pradesh,low_risk
cust_000127,2025-10-27T00:00:00,523.46,upi,dev_006571,49.137.38.130,Kerala,low_risk
cust_000128,2026-03-23T00:00:00,429.72,card,dev_015649,117.19.36.245,Maharashtra,standard
cust_000129,2025-05-16T00:00:00,456.89,upi,dev_016691,117.253.153.145,Telangana,low_risk
cust_000130,2026-02-16T00:00:00,2412.0,netbanking,dev_001421,157.158.122.62,Telangana,standard
cust_000131,2025-07-15T00:00:00,2343.88,card,dev_018422,49.96.87.97,Gujarat,low_risk
cust_000132,2025-04-30T00:00:00,750.45,card,dev_003372,157.214.74.40,Kerala,low_risk
cust_000133,2026-01-12T00:00:00,697.0,upi,dev_013016,122.201.2.198,Kerala,low_risk
cust_000134,2026-01-20T00:00:00,918.94,upi,dev_007835,182.171.241.28,Kerala,low_risk
cust_000135,2026-04-01T00:00:00,1901.73,card,dev_001173,103.174.59.156,Telangana,low_risk
cust_000136,2025-10-16T00:00:00,83.92,upi,dev_008639,122.209.28.160,Uttar Pradesh,low_risk
cust_000137,2025-07-11T00:00:00,437.91,netbanking,dev_002633,103.6.162.19,West Bengal,low_risk
cust_000138,2026-01-30T00:00:00,308.77,card,dev_000767,182.99.89.50,Telangana,low_risk
cust_000139,2026-01-26T00:00:00,183.0,card,dev_007949,182.161.22.24,Kerala,low_risk
cust_000140,2026-04-28T00:00:00,693.97,card,dev_013933,182.129.13.186,Kerala,low_risk
cust_000141,2026-02-11T00:00:00,1215.86,netbanking,dev_018800,106.128.89.132,Tamil Nadu,standard
cust_000142,2025-09-09T00:00:00,730.64,upi,dev_019308,49.10.168.253,Kerala,high_risk
cust_000143,2025-08-26T00:00:00,357.21,upi,dev_012037,223.168.172.101,Uttar Pradesh,low_risk
cust_000144,2025-07-21T00:00:00,1353.01,upi,dev_018035,223.23.168.84,Delhi,low_risk
cust_000145,2025-12-16T00:00:00,170.88,upi,dev_001377,106.218.138.121,Maharashtra,low_risk
cust_000146,2025-09-24T00:00:00,508.03,upi,dev_001909,157.76.153.127,Delhi,low_risk
cust_000147,2025-05-04T00:00:00,297.22,upi,dev_008522,106.101.37.179,Tamil Nadu,low_risk
cust_000148,2025-09-12T00:00:00,304.55,netbanking,dev_016007,49.100.59.19,Kerala,low_risk
cust_000149,2025-08-31T00:00:00,2032.45,upi,dev_018694,182.78.117.33,West Bengal,low_risk
cust_000150,2025-11-24T00:00:00,742.77,upi,dev_013417,122.80.93.32,West Bengal,low_risk
cust_000151,2025-08-08T00:00:00,578.5,card,dev_009637,49.98.203.160,West Bengal,low_risk
cust_000152,2026-04-13T00:00:00,3516.58,upi,dev_002436,106.22.157.174,West Bengal,standard
cust_000153,2026-01-07T00:00:00,1039.37,upi,dev_014678,49.102.171.114,Gujarat,low_risk
cust_000154,2025-08-03T00:00:00,828.91,upi,dev_016807,182.191.209.64,West Bengal,standard
cust_000155,2025-07-04T00:00:00,303.44,upi,dev_009486,122.30.245.52,Uttar Pradesh,low_risk
cust_000156,2025-10-20T00:00:00,562.9,card,dev_012790,117.73.185.75,Uttar Pradesh,low_risk
cust_000157,2026-05-18T00:00:00,1330.81,card,dev_007284,182.19.13.131,Kerala,low_risk
cust_000158,2026-03-26T00:00:00,1878.71,card,dev_006056,117.20.28.106,West Bengal,low_risk
cust_000159,2025-10-25T00:00:00,1357.77,upi,dev_004681,122.133.170.32,Gujarat,low_risk
cust_000160,2025-07-07T00:00:00,1507.96,netbanking,dev_010936,122.159.201.209,West Bengal,standard
cust_000161,2025-09-07T00:00:00,512.13,card,dev_013071,117.184.175.16,Gujarat,low_risk
cust_000162,2025-10-29T00:00:00,411.97,card,dev_017478,106.121.19.232,Gujarat,low_risk
cust_000163,2026-05-16T00:00:00,670.26,card,dev_020410,157.194.32.57,Delhi,low_risk
cust_000164,2025-10-11T00:00:00,588.76,upi,dev_021426,122.197.155.61,Telangana,low_risk
cust_000165,2026-04-20T00:00:00,354.28,upi,dev_000447,49.191.243.20,Kerala,low_risk
cust_000166,2025-06-17T00:00:00,1187.08,upi,dev_000863,182.25.77.153,Maharashtra,low_risk
cust_000167,2025-06-18T00:00:00,360.8,upi,dev_012631,49.142.163.170,Rajasthan,low_risk
cust_000168,2025-10-23T00:00:00,1949.0,upi,dev_002303,182.205.56.147,Tamil Nadu,low_risk
cust_000169,2025-06-26T00:00:00,1332.05,upi,dev_004838,157.13.239.120,Uttar Pradesh,low_risk
cust_000170,2026-05-12T00:00:00,549.38,upi,dev_001566,117.91.137.21,Rajasthan,low_risk
cust_000171,2026-04-01T00:00:00,193.06,card,dev_020011,157.107.196.229,Telangana,low_risk
cust_000172,2025-12-29T00:00:00,4410.47,netbanking,dev_001288,49.122.20.225,West Bengal,low_risk
cust_000173,2025-10-13T00:00:00,595.27,card,dev_012213,49.179.125.115,Gujarat,standard
cust_000174,2025-12-15T00:00:00,653.53,upi,dev_006369,157.162.185.62,Tamil Nadu,low_risk
cust_000175,2026-05-19T00:00:00,210.9,card,dev_014903,157.240.55.152,Kerala,low_risk
cust_000176,2025-08-08T00:00:00,488.82,upi,dev_020191,223.80.189.181,Rajasthan,low_risk
cust_000177,2026-01-16T00:00:00,510.68,card,dev_011734,106.5.126.58,Karnataka,low_risk
cust_000178,2025-05-18T00:00:00,1121.31,card,dev_021323,49.116.48.155,Rajasthan,low_risk
cust_000179,2025-07-12T00:00:00,124.97,upi,dev_014284,106.185.31.57,Karnataka,high_risk
cust_000180,2026-04-13T00:00:00,346.04,card,dev_013469,117.79.87.132,Tamil Nadu,low_risk
cust_000181,2025-11-19T00:00:00,848.48,card,dev_015506,117.234.67.154,Tamil Nadu,low_risk
cust_000182,2025-05-23T00:00:00,219.59,upi,dev_019767,49.24.137.229,Tamil Nadu,low_risk
cust_000183,2026-04-07T00:00:00,1136.84,card,dev_012429,223.18.176.162,Tamil Nadu,low_risk
cust_000184,2025-12-23T00:00:00,611.28,upi,dev_001128,122.86.67.217,Rajasthan,standard
cust_000185,2025-12-04T00:00:00,459.54,card,dev_014368,117.40.3.192,Karnataka,low_risk
cust_000186,2026-01-22T00:00:00,416.87,upi,dev_019610,106.164.179.219,Tamil Nadu,standard
cust_000187,2025-08-06T00:00:00,538.02,upi,dev_016491,223.243.235.69,Karnataka,standard
cust_000188,2026-03-24T00:00:00,617.27,card,dev_003238,103.117.203.150,Delhi,low_risk
cust_000189,2026-05-14T00:00:00,3374.01,upi,dev_008645,117.190.189.78,Rajasthan,low_risk
cust_000190,2025-07-04T00:00:00,1334.91,upi,dev_016473,223.143.26.182,Karnataka,low_risk
cust_000191,2025-11-15T00:00:00,1261.14,card,dev_000735,182.179.148.164,Tamil Nadu,low_risk
cust_000192,2025-12-16T00:00:00,206.15,card,dev_000554,106.63.186.185,Gujarat,low_risk
cust_000193,2026-04-28T00:00:00,1458.91,upi,dev_001801,122.72.188.16,Tamil Nadu,low_risk
cust_000194,2026-05-03T00:00:00,631.37,upi,dev_017431,103.205.156.233,Telangana,low_risk
cust_000195,2025-05-03T00:00:00,492.04,netbanking,dev_011162,157.29.220.81,Uttar Pradesh,low_risk
cust_000196,2025-06-19T00:00:00,841.81,upi,dev_013367,157.50.205.147,Rajasthan,low_risk
cust_000197,2026-01-08T00:00:00,3178.01,upi,dev_012310,117.14.112.201,Karnataka,low_risk
cust_000198,2025-12-14T00:00:00,629.39,card,dev_006099,106.190.169.124,Kerala,standard
cust_000199,2025-06-08T00:00:00,174.05,upi,dev_017894,49.9.44.170,West Bengal,low_risk
cust_000200,2025-08-27T00:00:00,1624.13,upi,dev_002783,122.188.72.85,Kerala,standard
cust_000201,2026-04-15T00:00:00,506.71,netbanking,dev_006626,157.46.40.242,Karnataka,low_risk
cust_000202,2025-04-29T00:00:00,304.37,upi,dev_017956,223.55.141.160,Telangana,low_risk
cust_000203,2026-01-04T00:00:00,179.8,upi,dev_011867,223.48.86.213,Tamil Nadu,low_risk
cust_000204,2026-05-10T00:00:00,409.18,upi,dev_020055,223.186.215.143,Maharashtra,low_risk
cust_000205,2025-10-19T00:00:00,713.65,netbanking,dev_011300,223.160.19.124,Telangana,standard
cust_000206,2026-04-18T00:00:00,283.88,card,dev_002545,157.98.226.40,Delhi,low_risk
cust_000207,2025-06-23T00:00:00,259.81,upi,dev_005322,103.8.78.118,Karnataka,low_risk
cust_000208,2025-10-05T00:00:00,465.72,card,dev_014780,182.213.7.26,Tamil Nadu,low_risk
cust_000209,2025-10-20T00:00:00,647.09,card,dev_013205,157.234.114.151,Kerala,standard
cust_000210,2025-05-22T00:00:00,616.57,card,dev_012925,157.21.16.118,Maharashtra,low_risk
cust_000211,2026-04-29T00:00:00,830.53,upi,dev_012759,103.63.235.222,West Bengal,low_risk
cust_000212,2025-06-11T00:00:00,1091.61,upi,dev_012155,122.146.166.23,Delhi,low_risk
cust_000213,2025-12-13T00:00:00,793.69,card,dev_003968,157.175.33.64,Gujarat,low_risk
cust_000214,2026-02-07T00:00:00,755.16,upi,dev_020699,103.222.163.71,West Bengal,low_risk
cust_000215,2026-04-06T00:00:00,445.02,card,dev_010221,182.249.36.217,Delhi,low_risk
cust_000216,2026-02-12T00:00:00,1064.12,card,dev_020413,103.8.85.155,Gujarat,low_risk
cust_000217,2025-05-09T00:00:00,819.04,card,dev_012488,49.186.170.78,Delhi,low_risk
cust_000218,2026-02-26T00:00:00,598.36,card,dev_014014,182.197.250.89,Karnataka,standard
cust_000219,2025-11-26T00:00:00,315.37,upi,dev_016474,103.245.89.204,Tamil Nadu,low_risk
cust_000220,2025-05-09T00:00:00,124.26,card,dev_003246,49.75.231.201,Delhi,standard
cust_000221,2025-04-30T00:00:00,359.68,netbanking,dev_020695,182.212.230.6,Delhi,low_risk
cust_000222,2025-05-16T00:00:00,479.46,upi,dev_008405,49.199.202.157,West Bengal,low_risk
cust_000223,2025-11-25T00:00:00,1164.51,upi,dev_006145,182.27.226.164,Telangana,low_risk
cust_000224,2025-05-06T00:00:00,758.4,card,dev_000896,122.212.11.116,West Bengal,low_risk
cust_000225,2025-07-11T00:00:00,503.23,upi,dev_019363,223.138.62.157,Uttar Pradesh,low_risk
cust_000226,2025-10-25T00:00:00,611.14,card,dev_012225,157.11.113.76,Maharashtra,low_risk
cust_000227,2026-04-11T00:00:00,151.89,card,dev_009794,157.177.131.132,Telangana,standard
cust_000228,2025-10-24T00:00:00,465.07,upi,dev_010989,106.58.230.7,Rajasthan,low_risk
cust_000229,2026-04-11T00:00:00,382.18,card,dev_014666,182.193.93.98,Karnataka,low_risk
cust_000230,2026-03-25T00:00:00,300.79,card,dev_013922,223.90.187.161,Gujarat,low_risk
cust_000231,2026-01-10T00:00:00,347.43,upi,dev_004247,223.6.144.202,Uttar Pradesh,low_risk
cust_000232,2025-10-27T00:00:00,347.97,netbanking,dev_020946,106.43.64.130,Telangana,low_risk
cust_000233,2026-05-04T00:00:00,674.28,upi,dev_011263,103.23.190.82,Kerala,low_risk
cust_000234,2026-01-15T00:00:00,2388.85,upi,dev_004724,122.190.84.27,Telangana,low_risk
cust_000235,2025-05-15T00:00:00,286.4,card,dev_010293,106.70.55.12,Karnataka,low_risk
cust_000236,2026-04-10T00:00:00,425.8,card,dev_000946,103.197.230.156,Karnataka,low_risk
cust_000237,2025-11-29T00:00:00,1552.74,upi,dev_011604,106.30.124.70,Karnataka,standard
cust_000238,2025-07-21T00:00:00,473.97,upi,dev_001274,117.138.198.46,Maharashtra,low_risk
cust_000239,2025-12-03T00:00:00,612.91,card,dev_017385,103.213.253.138,Uttar Pradesh,low_risk
cust_000240,2025-10-30T00:00:00,2295.37,card,dev_014495,117.244.5.133,Gujarat,low_risk
cust_000241,2026-03-17T00:00:00,1406.05,card,dev_011243,103.91.61.154,Karnataka,low_risk
cust_000242,2025-12-10T00:00:00,513.46,upi,dev_019050,106.9.58.176,Gujarat,low_risk
cust_000243,2025-05-29T00:00:00,130.72,upi,dev_013028,157.29.68.234,Gujarat,low_risk
cust_000244,2025-08-05T00:00:00,387.33,upi,dev_018382,106.218.159.25,Maharashtra,low_risk
cust_000245,2026-01-03T00:00:00,744.8,upi,dev_021826,117.238.18.180,Maharashtra,low_risk
cust_000246,2025-08-18T00:00:00,1471.37,upi,dev_007979,122.113.55.187,Karnataka,low_risk
cust_000247,2026-03-10T00:00:00,1718.43,upi,dev_005483,117.70.243.207,Rajasthan,low_risk
cust_000248,2025-04-29T00:00:00,189.79,upi,dev_009899,223.53.203.178,Kerala,high_risk
cust_000249,2025-06-20T00:00:00,1809.34,upi,dev_010770,103.18.45.24,Karnataka,low_risk
cust_000250,2025-05-24T00:00:00,296.58,card,dev_002729,106.198.178.1,Tamil Nadu,low_risk
cust_000251,2025-12-31T00:00:00,1153.84,upi,dev_017696,49.143.228.158,Rajasthan,standard
cust_000252,2025-08-29T00:00:00,790.05,card,dev_001160,122.137.76.247,Gujarat,standard
cust_000253,2025-09-18T00:00:00,1159.74,upi,dev_002817,106.233.185.222,Kerala,low_risk
cust_000254,2025-07-21T00:00:00,1207.84,card,dev_007782,117.241.218.13,Kerala,standard
cust_000255,2026-04-16T00:00:00,759.08,upi,dev_010376,49.207.57.221,Gujarat,low_risk
cust_000256,2025-10-20T00:00:00,1193.52,card,dev_016809,157.204.96.20,Rajasthan,low_risk
cust_000257,2025-07-13T00:00:00,215.35,upi,dev_001193,106.80.166.53,West Bengal,standard
cust_000258,2026-01-23T00:00:00,867.81,upi,dev_015894,49.75.114.213,Tamil Nadu,low_risk
cust_000259,2026-04-02T00:00:00,1654.18,upi,dev_000574,106.218.138.121,Uttar Pradesh,standard
cust_000260,2025-09-26T00:00:00,1318.45,upi,dev_013523,182.208.26.83,West Bengal,low_risk
cust_000261,2025-07-16T00:00:00,726.08,upi,dev_006160,103.253.85.205,Rajasthan,low_risk
cust_000262,2025-10-11T00:00:00,233.06,netbanking,dev_011645,223.55.41.11,Uttar Pradesh,low_risk
cust_000263,2026-01-03T00:00:00,724.48,card,dev_004697,117.91.254.102,Tamil Nadu,low_risk
cust_000264,2025-05-07T00:00:00,1770.26,upi,dev_009532,182.149.158.27,Uttar Pradesh,low_risk
cust_000265,2026-03-15T00:00:00,383.86,card,dev_003583,122.169.154.176,Karnataka,low_risk
cust_000266,2025-04-30T00:00:00,648.36,upi,dev_002446,182.204.171.125,Karnataka,standard
cust_000267,2025-10-26T00:00:00,583.65,upi,dev_020017,122.191.112.96,Kerala,standard
cust_000268,2025-10-14T00:00:00,124.88,card,dev_018524,103.192.1.144,Delhi,low_risk
cust_000269,2026-05-03T00:00:00,903.27,card,dev_019980,223.240.116.16,Tamil Nadu,low_risk
cust_000270,2026-03-04T00:00:00,1182.47,upi,dev_021970,122.119.35.3,Rajasthan,low_risk
cust_000271,2025-07-25T00:00:00,479.7,card,dev_010939,157.126.209.95,Kerala,low_risk
